Type	,Num	,Func	, Misc
voiceAssistent,25,hbjbg
searchEngine,1,hghvg
chatbot,2,gvgv
chatgpt,7,hbb
retailApp,2,bhgghv
smartCart,8,bhjbh
cash,9,hjbh
orderingMachine,1,hbjb
searchEngine,5,jbhjb
chatbot,6,hbgb
chatgpt,8,hbghv
retailApp,9,gv
smartCart,10,hbghv
cash,2,hgvgh
orderingMachine,3,hbvhg
voiceAssistent,2,hvghv
searchEngine,5,ghg
chatbot,6,vgv
chatgpt,8,hjbhb
retailApp,2,jnhj
smartCart,3,h h
cash,5,jbhbh
orderingMachine,9,h gjh
voiceAssistent,15,vgcf
searchEngine,10,hvngv
chatbot,0, vffc
chatgpt,10,hgv
retailApp,8,hg
smartCart,3,hvgv
cash,1,hbg
orderingMachine,20,jhbjh
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,55,hvgh
searchEngine,5,nbhb
chatbot,2,nbh
chatgpt,2,nbh
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
Misc,,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
Misc,,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
Misc,,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
Misc,,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
Misc,,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
Misc,,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
Misc,,,
voiceAssistent,,
searchEngine,,
chatbot,,
chatgpt,,
retailApp,,
smartCart,,
cash,,
orderingMachine,,
Misc,,,
